topic,count,score
anxiety,6,0.16666666666666666
suicide,1,0.027777777777777776
lockdown,1,0.027777777777777776
fatigue,2,0.05555555555555555
love,5,0.1388888888888889
sad,6,0.16666666666666666
pain,10,0.2777777777777778
depression,2,0.05555555555555555
stress,0,0.0
help,3,0.08333333333333333
