topic,count,score
anxiety,6,0.13043478260869565
suicide,1,0.021739130434782608
lockdown,1,0.021739130434782608
fatigue,1,0.021739130434782608
love,4,0.08695652173913043
sad,6,0.13043478260869565
pain,15,0.32608695652173914
depression,5,0.10869565217391304
stress,2,0.043478260869565216
help,5,0.10869565217391304
